date,BAC,C,CNC,CSX,CVS,DAL,FIS,TFC,USB,WFC
20250328,41.25,70.33,60.04,29.11,67.14,43.84,73.65,40.46,42.26,70.69
20250331,41.73,70.99,60.71,29.43,67.75,43.6,74.68,41.15,42.22,71.79
20250401,41.49,70.54,60.45,29.54,67.98,42.42,74.57,41.02,41.77,71.31
20250402,41.85,71.76,60.73,29.74,68.07,43.37,75.74,41.56,43.01,72.26
20250403,37.22,63.05,64.29,27.99,67.51,38.71,74.51,37.04,38.79,65.67
20250404,34.39,58.13,61.93,27.21,63.66,37.25,69.9,34.79,36.83,60.98
20250407,35.58,58.85,61.35,27.09,63.85,37.29,68.7,35.14,36.8,62.17
20250408,35.03,58.77,62.4,26.69,67.63,35.88,68.14,34.92,36.4,62.08
20250409,37.15,64.15,62.63,28.66,70.18,44.27,72.41,37.99,39.3,66.33
20250410,35.85,61.59,62.39,27.82,68.97,39.36,69.51,35.64,37.25,63.11
20250411,35.95,61.64,63.86,28.01,69.51,40.88,72.35,35.39,37.86,62.51
20250414,36.67,63.22,63.01,28.27,69.2,40.3,71.36,36.18,38.2,63.1
20250415,37.99,64.33,62.28,27.9,68.92,40.83,70.08,36.49,38.63,64.54
20250416,37.33,62.1,61.98,27.35,68.55,40.59,68.64,36,37.82,63.98
20250417,37.41,63.25,60.7,27.68,67.29,40.85,74.58,35.9,38.2,64.71
20250421,36.92,62.69,58.01,27.46,65.17,39.47,76.37,35.31,37.81,64.01
20250422,38.32,64.55,60.23,27.78,65.45,40.34,79.12,36.34,39,66.23
20250423,38.75,66.3,62.12,27.59,65.57,41.4,79.41,37.14,39.51,67.94
20250424,39.58,68.16,61.58,28.14,65.92,42.02,79.87,37.9,40.05,69.56
20250425,39.69,68.43,57.69,27.84,65.32,41.58,79.26,37.67,39.92,69.73
20250428,39.78,68.28,59.47,27.87,64.93,41.96,77.98,38.34,40.18,69.43
20250429,39.99,68.88,59.26,28.05,65.03,42.08,78.63,38.76,40.5,71.1
20250430,39.88,68.38,59.85,28.07,66.71,41.63,78.88,38.34,40.34,71.01
20250501,40.17,68.14,59.41,28.11,69.45,41.5,77.71,38.59,40.5,71.81
20250502,41.07,70.59,60.16,28.7,67.46,44.2,78.86,39.47,41.47,73.8
20250505,41.12,70.24,59.78,28.47,67.1,45.51,78.32,39.35,41.46,73.85
20250506,40.84,69.47,59.68,28.09,66.23,44.81,75.89,38.97,40.98,73.48
20250507,40.93,70.25,62.92,28.37,66.78,45.3,75.51,38.71,41.3,73.18
20250508,41.6,71.64,62.42,28.96,67.85,48.54,77.92,39.56,42.14,73.31
20250509,41.79,71.45,62.79,28.74,66.97,48.34,78.34,39.01,42.02,72.45
20250512,43.36,74.91,62.87,30.31,64.81,51.14,78.88,41.12,44.01,74.88
20250513,44.28,75.57,58.97,30.54,60.5,52.99,77.68,41.35,44.37,75.99
20250514,44.74,75.29,59.47,31.03,60.04,50.58,78.05,41.23,44.23,76.28
20250515,44.38,75.96,60.06,31.3,60.47,50.28,78.71,41.18,44.58,75.59
20250516,44.69,75.72,61.78,31.32,62.53,50.92,79.86,41.4,44.92,76.18
20250519,44.77,76.13,61.55,31.21,62.78,51.19,80.98,41.4,44.79,76.06
20250520,44.69,75.9,61.96,31.23,63.74,49.98,80.6,40.68,44.41,75.52
20250521,43.25,73.42,60.74,30.49,62.11,48.27,79.17,39.12,42.89,73.19
20250522,43.31,73.42,58.07,30.64,60.22,48.5,78.34,39.49,43.12,73.39
20250523,43.2,73.09,56.41,30.82,60.83,47.92,78.22,39.28,42.94,72.83
